^8514^;^22^;^10.9^
^12746^;^0^;^105.9^
^11186^;^79^;^2.9^
^11188^;^13^;^32.9^
^11187^;^44^;^9.9^
^11189^;^3^;^94.9^
^8490^;^21^;^31.9^
^8489^;^24^;^9.9^
^11181^;^4^;^92.9^
^8286^;^100^;^2.9^
^8728^;^1^;^316.9^
^8110^;^39^;^31.9^
^8285^;^67^;^9.9^
^8486^;^58^;^2.9^
^8488^;^2^;^37.9^
^8487^;^20^;^10.9^
^8290^;^4^;^18.9^
^8288^;^50^;^2.9^
^8485^;^18^;^35.9^
^8289^;^71^;^10.9^
^12723^;^47^;^15.9^
^12724^;^31^;^45.9^
^2196^;^47^;^17.9^
^2199^;^0^;^1845.9^
^2197^;^3^;^240.9^
^612^;^15^;^70.9^
^2198^;^1^;^559.9^
^2219^;^11^;^11.9^
^2216^;^0^;^1374.9^
^2218^;^0^;^163.9^
^613^;^6^;^44.9^
^2217^;^0^;^412.9^
^2212^;^9^;^12.9^
^2215^;^0^;^1501.9^
^2213^;^0^;^187.9^
^627^;^7^;^51.9^
^2214^;^0^;^451.9^
^2224^;^14^;^10.9^
^2221^;^0^;^1244.9^
^2223^;^0^;^155.9^
^638^;^3^;^45.9^
^2222^;^0^;^374.9^
^2201^;^11^;^12.9^
^2205^;^0^;^1550.9^
^2203^;^0^;^188.9^
^2202^;^4^;^51.9^
^2204^;^1^;^471.9^
^2189^;^10^;^13.9^
^2186^;^0^;^1680.9^
^2188^;^0^;^169.9^
^629^;^8^;^56.9^
^2187^;^0^;^493.9^
^2230^;^22^;^10.9^
^2233^;^0^;^1490.9^
^2231^;^1^;^152.9^
^631^;^13^;^42.9^
^2232^;^1^;^441.9^
^2295^;^1^;^260.9^
^2190^;^15^;^13.9^
^2193^;^0^;^1929.9^
^2191^;^1^;^194.9^
^628^;^7^;^55.9^
^2192^;^0^;^570.9^
^2294^;^0^;^1316.9^
^2297^;^0^;^821.9^
^2296^;^0^;^248.9^
^2290^;^0^;^121.9^
^2819^;^35^;^6.9^
^2822^;^0^;^901.9^
^2820^;^2^;^94.9^
^2817^;^10^;^26.9^
^2821^;^0^;^279.9^
^2843^;^12^;^5.9^
^2844^;^11^;^22.9^
^2825^;^24^;^4.9^
^2826^;^0^;^65.9^
^2830^;^12^;^18.9^
^2831^;^1^;^188.9^
^2834^;^24^;^4.9^
^2835^;^12^;^18.9^
^2823^;^36^;^4.9^
